Species,Chemical Name,Freq-GHz,Freq Err,Meas Freq-GHz,Meas Freq Err,Resolved QNs,CDMS/JPL Intensity,S<sub>ij</sub>,Log<sub>10</sub> (A<sub>ij</sub>),Lovas/AST Intensity,E_L (cm^-1),E_L (K),E_U (cm^-1),E_U (K),Linelist
(CH3)2COv=0,Acetone,219.21993,2.9e-05,,,"21(1,20)-20(2,19)AE",0.0,19.204,-3.32776,,77.482,111.47867,84.79439,121.99951,SLAIM
(CH3)2COv=0,Acetone,219.24214,2.1e-05,,,"21(1,20)-20(2,19)EE",0.0,19.202,-3.32767,,77.421,111.39091,84.73413,121.91281,SLAIM
13CH3OHvt=0,Methanol,234.01161,8e-06,234.01158,5e-05,"5(1,5)-4(1,4)++",-2.45349,0.0,-4.27824,,25.73,37.0195,33.53579,48.25022,SLAIM
13COv=0,Carbon Monoxide,220.39868,0.0,220.39868,1e-06,2-1,0.0,2.0,-6.21596,,3.676,5.28891,11.02771,15.86632,SLAIM
13CSv=0,Carbon Monosulfide,231.22069,1e-05,231.221,0.0002,5-4,0.0,5.0,-3.60077,0.7,15.426,22.19445,23.13869,33.29122,SLAIM
C18O,Carbon Monoxide,219.56036,0.0,219.56036,1e-06,2-1,0.0,2.0,-6.21833,3.5,3.662,5.26877,10.98575,15.80595,SLAIM
CH3CH2CNv=0,Ethyl Cyanide,218.39002,4e-06,218.38997,5e-05,"24(3,21)-23(3,20)",0.0,23.6297,-3.06217,,89.963,129.43594,97.24771,139.91695,SLAIM
CH3CH2CNv=0,Ethyl Cyanide,219.50559,4e-06,219.50559,5e-05,"24(2,22)-23(2,21)",0.0,23.8312,-3.05185,,86.944,125.0923,94.26592,135.62685,SLAIM
CH3CNv8=1,Methyl Cyanide,221.25235,0.0,,,"12(5)-11(5),l=-1",0.0,9.9,-3.11668,,580.31,834.93184,587.69018,845.55022,SLAIM
CH3CNv8=1,Methyl Cyanide,221.26513,0.0,,,"12(7)-11(7),l=1",0.0,7.9,-3.21461,,588.3,846.4276,595.68061,857.04659,SLAIM
CH3CNv8=1,Methyl Cyanide,221.31186,0.0,,,"12(6)-11(6),l=1",0.0,9.0,-3.15772,,533.41,767.45359,540.79217,778.07482,SLAIM
CH3CNv8=1,Methyl Cyanide,221.33804,9e-05,221.33822,5e-05,"12(3)-11(3),l=-1",0.0,11.3,-3.05873,,482.95,694.85332,490.33304,705.47581,SLAIM
CH3CNv8=1,Methyl Cyanide,221.35029,0.0,,,"12(5)-11(5),l=1",0.0,9.9,-3.1161,,488.34,702.60829,495.72345,713.23137,SLAIM
CH3CNv8=1,Methyl Cyanide,221.36751,9e-05,221.36767,5e-05,"12(2)-11(2),l=-1",0.0,11.7,-3.04345,,449.07,646.10784,456.45403,656.73175,SLAIM
CH3CNv8=1,Methyl Cyanide,221.40351,0.00011,221.40382,5e-05,"12(3)-11(3),l=1",0.0,11.3,-3.05834,,427.78,615.47646,435.16523,626.10209,SLAIM
CH3CNv=0,Methyl Cyanide,220.47582,5e-06,,,12(8)-11(8),0.0,6.6667,-3.29298,,357.938,514.98998,365.29228,525.57109,SLAIM
CH3CNv=0,Methyl Cyanide,220.53933,4e-06,,,12(7)-11(7),0.0,7.9167,-3.21797,,283.608,408.0463,290.9644,418.63046,SLAIM
CH3CNv=0,Methyl Cyanide,220.59443,3e-06,,,12(6)-11(6),0.0,9.0,-3.16195,,219.154,315.31191,226.51224,325.89871,SLAIM
CH3CNv=0,Methyl Cyanide,220.64109,2e-06,,,12(5)-11(5),0.0,9.9167,-3.11955,,164.592,236.80981,171.95179,247.39885,SLAIM
