|         source              |      velocity |
|           e8mm              | 60.0000000000 |
|            e2w              | 55.8402243596 |
|           e2nw              | 54.5239760746 |
|          eSmm6              | 63.1128283087 |
|          eSmm3              | 63.7546595246 |
|          eSmm4              | 61.8916442131 |
|          eSmm2              | 62.5303608716 |
|          eSmm1              | 60.0220934968 |
|          eEmm1              | 55.0160437397 |
|          e1mm1              | 57.2648465423 |
|          e3mm1              | 62.5962776029 |
|        ALMAmm1              | 61.6346186329 |
|        ALMAmm2              | 52.1089132941 |
|        ALMAmm3              | 51.7718908537 |
|        ALMAmm4              | 50.6771255446 |
|        ALMAmm5              | 49.4037669425 |
|        ALMAmm6              | 49.2251736494 |
|        ALMAmm7              | 52.5064281719 |
|        ALMAmm9              | 59.1143800167 |
|       ALMAmm10              | 61.2574995339 |
|       ALMAmm11              | 61.9350032967 |
|       ALMAmm12              | 61.4360928271 |
|       ALMAmm13              | 65.0745548204 |
|       ALMAmm14              | 62.2651190901 |
|       ALMAmm15              | 61.1848623625 |
|       ALMAmm16              | 60.5431263615 |
|             e5              |  49.113155603 |
|       ALMAmm17              |  60.815450832 |
|       ALMAmm18              | 60.8030581616 |
|       ALMAmm19              |  60.993960262 |
|       ALMAmm20              |   66.49320865 |
|       ALMAmm21              | 61.8331444388 |
|       ALMAmm22              | 61.2211809482 |
|       ALMAmm23              | 58.1254167114 |
|       ALMAmm31              | 62.2522831724 |
|             d2              | 58.6976131836 |
|          north              | 57.7240080916 |
|       ALMAmm24              |  58.126456675 |
|       ALMAmm25              | 60.4020550789 |
|       ALMAmm26              | 58.6885233291 |
|       ALMAmm27              | 60.0984651662 |
|       ALMAmm28              | 55.6262846912 |
|       ALMAmm29              | 50.5879765226 |
|       ALMAmm30              | 58.0336990722 |
|       ALMAmm32              | 63.5254664242 |
|       ALMAmm33              | 60.4454628622 |
|       ALMAmm34              | 59.3367775789 |
|       ALMAmm35              | 58.1864518578 |
|       ALMAmm36              | 64.2524475173 |
|       ALMAmm37              | 58.5917340572 |
|         eSmm2a              | 62.5953703361 |
|       ALMAmm38              | 60.1859397753 |
|       e2e_peak              | 55.0219690652 |
|            e2e              | 55.6673123571 |
|          eEmm2              |  54.246114265 |
|          eEmm3              |  59.328515577 |
|       ALMAmm39              | 61.3104775948 |
|       ALMAmm40              | 60.8541543644 |
|       ALMAmm41              | 54.0323492485 |
|           e2se              |  54.575364261 |
|       ALMAmm43              | 58.6496801977 |
|       ALMAmm44              | 58.6711437738 |
|       ALMAmm45              |  60.614210896 |
|       ALMAmm45              |  60.614210896 |
|       ALMAmm46              | 59.7320015815 |
|       ALMAmm47              | 59.2063892959 |
|       ALMAmm48              |   59.38480447 |
|       ALMAmm49              |  59.890493945 |
|       ALMAmm50              | 60.7698279335 |
|       ALMAmm51              | 60.4310275118 |
|       ALMAmm52              | 65.0079586891 |
|       ALMAmm53              |   65.08432243 |
|       ALMAmm54              | 50.5419019478 |
|       ALMAmm55              | 59.4592340334 |
|       ALMAmm56              | 58.4927285997 |
|       ALMAmm57              | 60.1859397753 |
|       ALMAmm58              | 60.0000000000 |
| e2e peak pixel              | 55.0219690652 |
| ContinuumFreeOutflowSource1 | 60.0          |
