| Species | Chemical Name |  Freq-GHz | Freq Err | Meas Freq-GHz | Meas Freq Err |      Resolved QNs | CDMS/JPL Intensity | S<sub>ij</sub> | Log<sub>10</sub> (A<sub>ij</sub>) | Lovas/AST Intensity | E_L (cm^-1) |   E_L (K) | E_U (cm^-1) |   E_U (K) | Linelist |
|  NH2CHO |     Formamide |  218.4592 |  1.1e-05 |            -- |            -- |    10(1,9)-9(1,8) |                0.0 |         9.8917 |                          -3.12193 |               19.4f |       34.98 |  50.32813 |    42.26701 |  60.81246 |    SLAIM |
|  NH2CHO |     Formamide |        -- |       -- |     218.45921 |         1e-05 |    10(1,9)-9(1,8) |            -2.4549 |            0.0 |                           -3.1264 |                  -- |     34.9795 |  50.32803 |    42.26651 |  60.81248 |     CDMS |
|  NH2CHO |     Formamide |  218.4592 |  1.1e-05 |            -- |            -- |    10(1,9)-9(1,8) |                0.0 |         9.8917 |                          -3.12193 |               19.4f |       34.98 |  50.32813 |    42.26701 |  60.81246 |    SLAIM |
|  NH2CHO |     Formamide |        -- |       -- |     218.45921 |         1e-05 |    10(1,9)-9(1,8) |            -2.4549 |            0.0 |                           -3.1264 |                  -- |     34.9795 |  50.32803 |    42.26651 |  60.81248 |     CDMS |
|  NH2CHO |     Formamide | 220.05816 |  3.1e-06 |            -- |            -- | 27(2,25)-28(1,28) |            -5.9211 |            0.0 |                          -6.50752 |                  -- |    275.0329 | 395.71357 |   282.37325 | 406.27476 |     CDMS |
|  NH2CHO |     Formamide | 220.05847 | 0.000227 |            -- |            -- | 27(2,25)-28(1,28) |                0.0 |           0.19 |                          -4.90669 |                  -- |     275.033 | 395.70886 |   282.37336 | 406.26994 |    SLAIM |
|  NH2CHO |     Formamide | 231.82855 |  2.7e-05 |            -- |            -- | 17(1,16)-17(0,17) |                0.0 |         6.7975 |                          -4.30953 |                8.5f |     105.359 | 151.58723 |   113.09197 | 162.71318 |    SLAIM |
|  NH2CHO |     Formamide | 231.82855 |    9e-07 |            -- |            -- | 17(1,16)-17(0,17) |             -3.969 |            0.0 |                           -4.6895 |                  -- |     105.359 | 151.58909 |   113.09197 | 162.71517 |     CDMS |
|  NH2CHO |     Formamide | 232.27363 |  1.1e-05 |            -- |            -- |  11(2,10)-10(2,9) |                0.0 |        10.6313 |                          -3.04059 |               16.4f |      47.125 |  67.80197 |    54.87281 |  78.94929 |    SLAIM |
|  NH2CHO |     Formamide |        -- |       -- |     232.27365 |         1e-05 |  11(2,10)-10(2,9) |            -2.3961 |            0.0 |                          -3.05471 |                  -- |     47.1245 |  67.80208 |    54.87231 |  78.94953 |     CDMS |
